Brand,Model,Series,RAM,Storage,Cashify Price (INR),Cashify + 3% Price (INR),Cashify Link
"Apple","iPhone 16 Plus","iPhone 16 Series","N/A","256 GB",52500,54075,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-16-plus-256-gb"
"Apple","iPhone 16 Plus","iPhone 16 Series","N/A","512 GB",58000,59740,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-16-plus-512-gb"
"Apple","iPhone 16 Plus","iPhone 16 Series","N/A","1024 GB",63000,64890,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-16-plus-1024-gb"
"Apple","iPhone 16","iPhone 16 Series","N/A","128 GB",42500,43775,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-16-128-gb"
"Apple","iPhone 16","iPhone 16 Series","N/A","256 GB",48500,49955,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-16-256-gb"
"Apple","iPhone 16","iPhone 16 Series","N/A","512 GB",54000,55620,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-16-512-gb"
"Apple","iPhone 16","iPhone 16 Series","N/A","1024 GB",59000,60770,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-16-1024-gb"
"Apple","iPhone 15 Pro Max","iPhone 15 Series","N/A","256 GB",72000,74160,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-15-pro-max-256-gb"
"Apple","iPhone 15 Pro Max","iPhone 15 Series","N/A","512 GB",78500,80855,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-15-pro-max-512-gb"
"Apple","iPhone 15 Pro Max","iPhone 15 Series","N/A","1024 GB",82500,84975,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-15-pro-max-1024-gb"
"Apple","iPhone 15 Pro","iPhone 15 Series","N/A","128 GB",62000,63860,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-15-pro-128-gb"
"Apple","iPhone 15 Pro","iPhone 15 Series","N/A","256 GB",68000,70040,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-15-pro-256-gb"
"Apple","iPhone 15 Pro","iPhone 15 Series","N/A","512 GB",73000,75190,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-15-pro-512-gb"
"Apple","iPhone 15 Pro","iPhone 15 Series","N/A","1024 GB",78000,80340,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-15-pro-1024-gb"
"Apple","iPhone 15 Plus","iPhone 15 Series","N/A","128 GB",38000,39140,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-15-plus-128-gb"
"Apple","iPhone 15 Plus","iPhone 15 Series","N/A","256 GB",44000,45320,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-15-plus-256-gb"
"Apple","iPhone 15 Plus","iPhone 15 Series","N/A","512 GB",49500,50985,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-15-plus-512-gb"
"Apple","iPhone 15 Plus","iPhone 15 Series","N/A","1024 GB",54500,56135,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-15-plus-1024-gb"
"Apple","iPhone 15","iPhone 15 Series","N/A","128 GB",34000,35020,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-15-128-gb"
"Apple","iPhone 15","iPhone 15 Series","N/A","256 GB",40000,41200,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-15-256-gb"
"Apple","iPhone 15","iPhone 15 Series","N/A","512 GB",45500,46865,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-15-512-gb"
"Apple","iPhone 15","iPhone 15 Series","N/A","1024 GB",50500,52015,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-15-1024-gb"
"Apple","iPhone 14 Pro Max","iPhone 14 Series","N/A","256 GB",55000,56650,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-14-pro-max-256-gb"
"Apple","iPhone 14 Pro Max","iPhone 14 Series","N/A","512 GB",61500,63345,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-14-pro-max-512-gb"
"Apple","iPhone 14 Pro Max","iPhone 14 Series","N/A","1024 GB",65500,67465,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-14-pro-max-1024-gb"
"Apple","iPhone 14 Pro","iPhone 14 Series","N/A","128 GB",45000,46350,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-14-pro-128-gb"
"Apple","iPhone 14 Pro","iPhone 14 Series","N/A","256 GB",51000,52530,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-14-pro-256-gb"
"Apple","iPhone 14 Pro","iPhone 14 Series","N/A","512 GB",56000,57680,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-14-pro-512-gb"
"Apple","iPhone 14 Pro","iPhone 14 Series","N/A","1024 GB",61000,62830,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-14-pro-1024-gb"
"Apple","iPhone 14 Plus","iPhone 14 Series","N/A","128 GB",27000,27810,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-14-plus-128-gb"
"Apple","iPhone 14 Plus","iPhone 14 Series","N/A","256 GB",33000,33990,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-14-plus-256-gb"
"Apple","iPhone 14 Plus","iPhone 14 Series","N/A","512 GB",38500,39655,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-14-plus-512-gb"
"Apple","iPhone 14 Plus","iPhone 14 Series","N/A","1024 GB",43500,44805,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-14-plus-1024-gb"
"Apple","iPhone 14","iPhone 14 Series","N/A","128 GB",23000,23690,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-14-128-gb"
"Apple","iPhone 14","iPhone 14 Series","N/A","256 GB",29000,29870,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-14-256-gb"
"Apple","iPhone 14","iPhone 14 Series","N/A","512 GB",34500,35535,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-14-512-gb"
"Apple","iPhone 14","iPhone 14 Series","N/A","1024 GB",39500,40685,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-14-1024-gb"
"Apple","iPhone 13 Pro Max","iPhone 13 Series","N/A","256 GB",55000,56650,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-13-pro-max-256-gb"
"Apple","iPhone 13 Pro Max","iPhone 13 Series","N/A","512 GB",61500,63345,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-13-pro-max-512-gb"
"Apple","iPhone 13 Pro Max","iPhone 13 Series","N/A","1024 GB",65500,67465,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-13-pro-max-1024-gb"
"Apple","iPhone 13 Pro","iPhone 13 Series","N/A","128 GB",45000,46350,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-13-pro-128-gb"
"Apple","iPhone 13 Pro","iPhone 13 Series","N/A","256 GB",51000,52530,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-13-pro-256-gb"
"Apple","iPhone 13 Pro","iPhone 13 Series","N/A","512 GB",56000,57680,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-13-pro-512-gb"
"Apple","iPhone 13 Pro","iPhone 13 Series","N/A","1024 GB",61000,62830,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-13-pro-1024-gb"
"Apple","iPhone 13","iPhone 13 Series","N/A","128 GB",23000,23690,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-13-128-gb"
"Apple","iPhone 13","iPhone 13 Series","N/A","256 GB",29000,29870,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-13-256-gb"
"Apple","iPhone 13","iPhone 13 Series","N/A","512 GB",34500,35535,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-13-512-gb"
"Apple","iPhone 13","iPhone 13 Series","N/A","1024 GB",39500,40685,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-13-1024-gb"
"Apple","iPhone 13 mini","iPhone 13 Series","N/A","128 GB",10000,10300,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-13-mini-128-gb"
"Apple","iPhone 13 mini","iPhone 13 Series","N/A","256 GB",16000,16480,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-13-mini-256-gb"
"Apple","iPhone 13 mini","iPhone 13 Series","N/A","512 GB",21500,22145,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-13-mini-512-gb"
"Apple","iPhone 12 Pro Max","iPhone 12 & 11 Series","N/A","256 GB",37000,38110,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-12-pro-max-256-gb"
"Apple","iPhone 12 Pro Max","iPhone 12 & 11 Series","N/A","512 GB",43500,44805,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-12-pro-max-512-gb"
"Apple","iPhone 12 Pro Max","iPhone 12 & 11 Series","N/A","1024 GB",47500,48925,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-12-pro-max-1024-gb"
"Apple","iPhone 12 Pro","iPhone 12 & 11 Series","N/A","128 GB",27000,27810,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-12-pro-128-gb"
"Apple","iPhone 12 Pro","iPhone 12 & 11 Series","N/A","256 GB",33000,33990,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-12-pro-256-gb"
"Apple","iPhone 12 Pro","iPhone 12 & 11 Series","N/A","512 GB",38000,39140,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-12-pro-512-gb"
"Apple","iPhone 12 Pro","iPhone 12 & 11 Series","N/A","1024 GB",43000,44290,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-12-pro-1024-gb"
"Apple","iPhone 12","iPhone 12 & 11 Series","N/A","128 GB",8500,8755,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-12-128-gb"
"Apple","iPhone 12","iPhone 12 & 11 Series","N/A","256 GB",14500,14935,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-12-256-gb"
"Apple","iPhone 12","iPhone 12 & 11 Series","N/A","512 GB",20000,20600,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-12-512-gb"
"Apple","iPhone 12 mini","iPhone 12 & 11 Series","N/A","128 GB",10000,10300,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-12-mini-128-gb"
"Apple","iPhone 12 mini","iPhone 12 & 11 Series","N/A","256 GB",16000,16480,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-12-mini-256-gb"
"Apple","iPhone 12 mini","iPhone 12 & 11 Series","N/A","512 GB",21500,22145,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-12-mini-512-gb"
"Apple","iPhone 11 Pro Max","iPhone 12 & 11 Series","N/A","256 GB",37000,38110,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-11-pro-max-256-gb"
"Apple","iPhone 11 Pro Max","iPhone 12 & 11 Series","N/A","512 GB",43500,44805,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-11-pro-max-512-gb"
"Apple","iPhone 11 Pro Max","iPhone 12 & 11 Series","N/A","1024 GB",47500,48925,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-11-pro-max-1024-gb"
"Apple","iPhone 11 Pro","iPhone 12 & 11 Series","N/A","128 GB",27000,27810,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-11-pro-128-gb"
"Apple","iPhone 11 Pro","iPhone 12 & 11 Series","N/A","256 GB",33000,33990,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-11-pro-256-gb"
"Apple","iPhone 11 Pro","iPhone 12 & 11 Series","N/A","512 GB",38000,39140,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-11-pro-512-gb"
"Apple","iPhone 11 Pro","iPhone 12 & 11 Series","N/A","1024 GB",43000,44290,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-11-pro-1024-gb"
"Apple","iPhone 11","iPhone 12 & 11 Series","N/A","128 GB",8500,8755,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-11-128-gb"
"Apple","iPhone 11","iPhone 12 & 11 Series","N/A","256 GB",14500,14935,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-11-256-gb"
"Apple","iPhone 11","iPhone 12 & 11 Series","N/A","512 GB",20000,20600,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-11-512-gb"
"Apple","iPhone SE3","iPhone SE & Legacy","N/A","32 GB",8000,8240,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-se3-32-gb"
"Apple","iPhone SE3","iPhone SE & Legacy","N/A","64 GB",8000,8240,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-se3-64-gb"
"Apple","iPhone SE3","iPhone SE & Legacy","N/A","128 GB",3500,3605,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-se3-128-gb"
"Apple","iPhone SE3","iPhone SE & Legacy","N/A","256 GB",8000,8240,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-se3-256-gb"
"Apple","iPhone SE2","iPhone SE & Legacy","N/A","32 GB",8000,8240,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-se2-32-gb"
"Apple","iPhone SE2","iPhone SE & Legacy","N/A","64 GB",8000,8240,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-se2-64-gb"
"Apple","iPhone SE2","iPhone SE & Legacy","N/A","128 GB",3500,3605,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-se2-128-gb"
"Apple","iPhone SE2","iPhone SE & Legacy","N/A","256 GB",8000,8240,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-se2-256-gb"
"Apple","iPhone 16e","iPhone 16 Series","N/A","128 GB",18500,19055,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-16e-128-gb"
"Apple","iPhone 16e","iPhone 16 Series","N/A","256 GB",24500,25235,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-16e-256-gb"
"Apple","iPhone 16e","iPhone 16 Series","N/A","512 GB",30000,30900,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-16e-512-gb"
"Apple","iPhone XR","iPhone SE & Legacy","N/A","32 GB",8000,8240,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-xr-32-gb"
"Apple","iPhone XR","iPhone SE & Legacy","N/A","64 GB",8000,8240,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-xr-64-gb"
"Apple","iPhone XR","iPhone SE & Legacy","N/A","128 GB",3500,3605,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-xr-128-gb"
"Apple","iPhone XR","iPhone SE & Legacy","N/A","256 GB",8000,8240,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-xr-256-gb"
"Apple","iPhone XS","iPhone SE & Legacy","N/A","32 GB",8000,8240,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-xs-32-gb"
"Apple","iPhone XS","iPhone SE & Legacy","N/A","64 GB",8000,8240,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-xs-64-gb"
"Apple","iPhone XS","iPhone SE & Legacy","N/A","128 GB",3500,3605,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-xs-128-gb"
"Apple","iPhone XS","iPhone SE & Legacy","N/A","256 GB",8000,8240,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-xs-256-gb"
"Apple","iPhone XS Max","iPhone SE & Legacy","N/A","32 GB",8000,8240,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-xs-max-32-gb"
"Apple","iPhone XS Max","iPhone SE & Legacy","N/A","64 GB",8000,8240,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-xs-max-64-gb"
"Apple","iPhone XS Max","iPhone SE & Legacy","N/A","128 GB",3500,3605,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-xs-max-128-gb"
"Apple","iPhone XS Max","iPhone SE & Legacy","N/A","256 GB",8000,8240,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-xs-max-256-gb"
"Apple","iPhone X","iPhone SE & Legacy","N/A","32 GB",8000,8240,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-x-32-gb"
"Apple","iPhone X","iPhone SE & Legacy","N/A","64 GB",8000,8240,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-x-64-gb"
"Apple","iPhone X","iPhone SE & Legacy","N/A","128 GB",3500,3605,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-x-128-gb"
"Apple","iPhone X","iPhone SE & Legacy","N/A","256 GB",8000,8240,"https://www.cashify.in/sell-old-mobile-phone/used-apple-iphone-x-256-gb"
"Samsung","Galaxy S20 Ultra","S Series","8 GB","256 GB",33000,33990,"https://www.cashify.in/sell-old-mobile-phone/used-samsung-galaxy-s20-ultra-8-gb-256-gb"
"Samsung","Galaxy S20 Ultra","S Series","8 GB","512 GB",38500,39655,"https://www.cashify.in/sell-old-mobile-phone/used-samsung-galaxy-s20-ultra-8-gb-512-gb"
"Samsung","Galaxy S20 Ultra","S Series","8 GB","1024 GB",43500,44805,"https://www.cashify.in/sell-old-mobile-phone/used-samsung-galaxy-s20-ultra-8-gb-1024-gb"
"Samsung","Galaxy S20 Ultra","S Series","12 GB","256 GB",35400,36462,"https://www.cashify.in/sell-old-mobile-phone/used-samsung-galaxy-s20-ultra-12-gb-256-gb"
"Samsung","Galaxy S20 Ultra","S Series","12 GB","512 GB",40900,42127,"https://www.cashify.in/sell-old-mobile-phone/used-samsung-galaxy-s20-ultra-12-gb-512-gb"
"Samsung","Galaxy S20 Ultra","S Series","12 GB","1024 GB",45900,47277,"https://www.cashify.in/sell-old-mobile-phone/used-samsung-galaxy-s20-ultra-12-gb-1024-gb"
"Samsung","Galaxy S21 Ultra","S Series","8 GB","256 GB",33000,33990,"https://www.cashify.in/sell-old-mobile-phone/used-samsung-galaxy-s21-ultra-8-gb-256-gb"
"Samsung","Galaxy S21 Ultra","S Series","8 GB","512 GB",38500,39655,"https://www.cashify.in/sell-old-mobile-phone/used-samsung-galaxy-s21-ultra-8-gb-512-gb"
"Samsung","Galaxy S21 Ultra","S Series","8 GB","1024 GB",43500,44805,"https://www.cashify.in/sell-old-mobile-phone/used-samsung-galaxy-s21-ultra-8-gb-1024-gb"
"Samsung","Galaxy S21 Ultra","S Series","12 GB","256 GB",35400,36462,"https://www.cashify.in/sell-old-mobile-phone/used-samsung-galaxy-s21-ultra-12-gb-256-gb"
"Samsung","Galaxy S21 Ultra","S Series","12 GB","512 GB",40900,42127,"https://www.cashify.in/sell-old-mobile-phone/used-samsung-galaxy-s21-ultra-12-gb-512-gb"
"Samsung","Galaxy S21 Ultra","S Series","12 GB","1024 GB",45900,47277,"https://www.cashify.in/sell-old-mobile-phone/used-samsung-galaxy-s21-ultra-12-gb-1024-gb"
"Samsung","Galaxy S22 Ultra","S Series","8 GB","256 GB",33000,33990,"https://www.cashify.in/sell-old-mobile-phone/used-samsung-galaxy-s22-ultra-8-gb-256-gb"
"Samsung","Galaxy S22 Ultra","S Series","8 GB","512 GB",38500,39655,"https://www.cashify.in/sell-old-mobile-phone/used-samsung-galaxy-s22-ultra-8-gb-512-gb"
"Samsung","Galaxy S22 Ultra","S Series","8 GB","1024 GB",43500,44805,"https://www.cashify.in/sell-old-mobile-phone/used-samsung-galaxy-s22-ultra-8-gb-1024-gb"
"Samsung","Galaxy S22 Ultra","S Series","12 GB","256 GB",35400,36462,"https://www.cashify.in/sell-old-mobile-phone/used-samsung-galaxy-s22-ultra-12-gb-256-gb"
"Samsung","Galaxy S22 Ultra","S Series","12 GB","512 GB",40900,42127,"https://www.cashify.in/sell-old-mobile-phone/used-samsung-galaxy-s22-ultra-12-gb-512-gb"
"Samsung","Galaxy S22 Ultra","S Series","12 GB","1024 GB",45900,47277,"https://www.cashify.in/sell-old-mobile-phone/used-samsung-galaxy-s22-ultra-12-gb-1024-gb"
"Samsung","Galaxy S23 Ultra","S Series","8 GB","256 GB",62500,64375,"https://www.cashify.in/sell-old-mobile-phone/used-samsung-galaxy-s23-ultra-8-gb-256-gb"
"Samsung","Galaxy S23 Ultra","S Series","8 GB","512 GB",68000,70040,"https://www.cashify.in/sell-old-mobile-phone/used-samsung-galaxy-s23-ultra-8-gb-512-gb"
"Samsung","Galaxy S23 Ultra","S Series","8 GB","1024 GB",73000,75190,"https://www.cashify.in/sell-old-mobile-phone/used-samsung-galaxy-s23-ultra-8-gb-1024-gb"
"Samsung","Galaxy S23 Ultra","S Series","12 GB","256 GB",64900,66847,"https://www.cashify.in/sell-old-mobile-phone/used-samsung-galaxy-s23-ultra-12-gb-256-gb"
"Samsung","Galaxy S23 Ultra","S Series","12 GB","512 GB",70400,72512,"https://www.cashify.in/sell-old-mobile-phone/used-samsung-galaxy-s23-ultra-12-gb-512-gb"
"Samsung","Galaxy S23 Ultra","S Series","12 GB","1024 GB",75400,77662,"https://www.cashify.in/sell-old-mobile-phone/used-samsung-galaxy-s23-ultra-12-gb-1024-gb"
"Samsung","Galaxy S23 Ultra","S Series","16 GB","256 GB",67300,69319,"https://www.cashify.in/sell-old-mobile-phone/used-samsung-galaxy-s23-ultra-16-gb-256-gb"
"Samsung","Galaxy S23 Ultra","S Series","16 GB","512 GB",72800,74984,"https://www.cashify.in/sell-old-mobile-phone/used-samsung-galaxy-s23-ultra-16-gb-512-gb"
"Samsung","Galaxy S23 Ultra","S Series","16 GB","1024 GB",77800,80134,"https://www.cashify.in/sell-old-mobile-phone/used-samsung-galaxy-s23-ultra-16-gb-1024-gb"
"Samsung","Galaxy S24 Ultra","S Series","8 GB","256 GB",74500,76735,"https://www.cashify.in/sell-old-mobile-phone/used-samsung-galaxy-s24-ultra-8-gb-256-gb"
"Samsung","Galaxy S24 Ultra","S Series","8 GB","512 GB",80000,82400,"https://www.cashify.in/sell-old-mobile-phone/used-samsung-galaxy-s24-ultra-8-gb-512-gb"
"Samsung","Galaxy S24 Ultra","S Series","8 GB","1024 GB",85000,87550,"https://www.cashify.in/sell-old-mobile-phone/used-samsung-galaxy-s24-ultra-8-gb-1024-gb"
"Samsung","Galaxy S24 Ultra","S Series","12 GB","256 GB",76900,79207,"https://www.cashify.in/sell-old-mobile-phone/used-samsung-galaxy-s24-ultra-12-gb-256-gb"
"Samsung","Galaxy S24 Ultra","S Series","12 GB","512 GB",82400,84872,"https://www.cashify.in/sell-old-mobile-phone/used-samsung-galaxy-s24-ultra-12-gb-512-gb"
"Samsung","Galaxy S24 Ultra","S Series","12 GB","1024 GB",87400,90022,"https://www.cashify.in/sell-old-mobile-phone/used-samsung-galaxy-s24-ultra-12-gb-1024-gb"
"Samsung","Galaxy S24 Ultra","S Series","16 GB","256 GB",79300,81679,"https://www.cashify.in/sell-old-mobile-phone/used-samsung-galaxy-s24-ultra-16-gb-256-gb"
"Samsung","Galaxy S24 Ultra","S Series","16 GB","512 GB",84800,87344,"https://www.cashify.in/sell-old-mobile-phone/used-samsung-galaxy-s24-ultra-16-gb-512-gb"
"Samsung","Galaxy S24 Ultra","S Series","16 GB","1024 GB",89800,92494,"https://www.cashify.in/sell-old-mobile-phone/used-samsung-galaxy-s24-ultra-16-gb-1024-gb"
"Samsung","Galaxy S25 Ultra","S Series","8 GB","256 GB",84500,87035,"https://www.cashify.in/sell-old-mobile-phone/used-samsung-galaxy-s25-ultra-8-gb-256-gb"
